There is a total of 40000 digits of the types:  0 1 2 3 4 5 6 7 8 9
Cuda enabled 

Net(
  (l1): Linear(in_features=784, out_features=20, bias=True)
  (l_out): Linear(in_features=20, out_features=10, bias=True)
)
Epoch 890 : Train Loss 4.150132 , Train acc 0.978929, Valid acc 0.938250
Epoch 895 : Train Loss 4.150127 , Train acc 0.978929, Valid acc 0.938500
Epoch 900 : Train Loss 4.150119 , Train acc 0.978929, Valid acc 0.938250
Epoch 905 : Train Loss 4.150113 , Train acc 0.978929, Valid acc 0.938250
Epoch 910 : Train Loss 4.150107 , Train acc 0.978929, Valid acc 0.938250
Epoch 915 : Train Loss 4.150100 , Train acc 0.978929, Valid acc 0.938500
Epoch 920 : Train Loss 4.150095 , Train acc 0.978929, Valid acc 0.938500
Epoch 925 : Train Loss 4.150089 , Train acc 0.978929, Valid acc 0.938500
Epoch 930 : Train Loss 4.150084 , Train acc 0.978929, Valid acc 0.938500
Epoch 935 : Train Loss 4.150077 , Train acc 0.978929, Valid acc 0.938750
Epoch 940 : Train Loss 4.150071 , Train acc 0.978929, Valid acc 0.938750
Epoch 945 : Train Loss 4.150061 , Train acc 0.978929, Valid acc 0.938500
Epoch 950 : Train Loss 4.150010 , Train acc 0.978964, Valid acc 0.938250
Epoch 955 : Train Loss 4.149992 , Train acc 0.978964, Valid acc 0.938500 
Epoch 960 : Train Loss 4.149983 , Train acc 0.978964, Valid acc 0.938500
Epoch 965 : Train Loss 4.149975 , Train acc 0.978964, Valid acc 0.938750
Epoch 970 : Train Loss 4.149968 , Train acc 0.978964, Valid acc 0.938750
Epoch 975 : Train Loss 4.149962 , Train acc 0.978964, Valid acc 0.939000
Epoch 980 : Train Loss 4.149958 , Train acc 0.978964, Valid acc 0.939000
Epoch 985 : Train Loss 4.149951 , Train acc 0.978964, Valid acc 0.939000
Epoch 990 : Train Loss 4.149943 , Train acc 0.978964, Valid acc 0.939000
Epoch 995 : Train Loss 4.149928 , Train acc 0.979000, Valid acc 0.938750
---------------|o|----------------
Testing accuracy on 8000 samples: 0.944375
Net(
  (l1): Linear(in_features=2, out_features=20, bias=True)
  (l_out): Linear(in_features=20, out_features=10, bias=True)
)
------------------------------------------------------------
------------------------- Rank   2 -------------------------
------------------------------------------------------------
Epoch   0 : Train Loss 6.445984 , Train acc 0.114250, Valid acc 0.115000
Epoch   5 : Train Loss 6.442488 , Train acc 0.114250, Valid acc 0.115000
Epoch  10 : Train Loss 6.442183 , Train acc 0.114250, Valid acc 0.115000
Epoch  15 : Train Loss 6.441890 , Train acc 0.114250, Valid acc 0.115000
Epoch  20 : Train Loss 6.441536 , Train acc 0.114250, Valid acc 0.115000
Epoch  25 : Train Loss 6.441082 , Train acc 0.114250, Valid acc 0.115000
Epoch  30 : Train Loss 6.440455 , Train acc 0.114250, Valid acc 0.115000
Epoch  35 : Train Loss 6.439559 , Train acc 0.114250, Valid acc 0.115000
Epoch  40 : Train Loss 6.438187 , Train acc 0.114250, Valid acc 0.115000
Epoch  45 : Train Loss 6.435958 , Train acc 0.114250, Valid acc 0.115000
Epoch  50 : Train Loss 6.431964 , Train acc 0.114250, Valid acc 0.115000
Epoch  55 : Train Loss 6.423872 , Train acc 0.153607, Valid acc 0.154750
Epoch  60 : Train Loss 6.405264 , Train acc 0.200071, Valid acc 0.199750
Epoch  65 : Train Loss 6.366028 , Train acc 0.208464, Valid acc 0.210500
Epoch  70 : Train Loss 6.316439 , Train acc 0.210571, Valid acc 0.211500
Epoch  75 : Train Loss 6.275395 , Train acc 0.210500, Valid acc 0.211250
Epoch  80 : Train Loss 6.243284 , Train acc 0.210393, Valid acc 0.211750
Epoch  85 : Train Loss 6.216767 , Train acc 0.210393, Valid acc 0.212000
Epoch  90 : Train Loss 6.194063 , Train acc 0.226500, Valid acc 0.225250
Epoch  95 : Train Loss 6.174533 , Train acc 0.246964, Valid acc 0.240000
Epoch 100 : Train Loss 6.157821 , Train acc 0.257357, Valid acc 0.252750
Epoch 105 : Train Loss 6.143645 , Train acc 0.264321, Valid acc 0.260000
Epoch 110 : Train Loss 6.131682 , Train acc 0.269393, Valid acc 0.261250
Epoch 115 : Train Loss 6.121596 , Train acc 0.272500, Valid acc 0.264750
Epoch 120 : Train Loss 6.113061 , Train acc 0.275214, Valid acc 0.267750
Epoch 125 : Train Loss 6.105788 , Train acc 0.276786, Valid acc 0.268750
Epoch 130 : Train Loss 6.099542 , Train acc 0.278071, Valid acc 0.269500
Epoch 135 : Train Loss 6.094120 , Train acc 0.279500, Valid acc 0.271500
Epoch 140 : Train Loss 6.089370 , Train acc 0.280036, Valid acc 0.272250
Epoch 145 : Train Loss 6.085159 , Train acc 0.280643, Valid acc 0.272500
Epoch 150 : Train Loss 6.081387 , Train acc 0.281107, Valid acc 0.272500
Epoch 155 : Train Loss 6.077972 , Train acc 0.281536, Valid acc 0.272750
Epoch 160 : Train Loss 6.074853 , Train acc 0.281679, Valid acc 0.272750
Epoch 165 : Train Loss 6.071987 , Train acc 0.281857, Valid acc 0.273250
Epoch 170 : Train Loss 6.069319 , Train acc 0.281821, Valid acc 0.272750
Epoch 175 : Train Loss 6.066830 , Train acc 0.281607, Valid acc 0.272500
Epoch 180 : Train Loss 6.064489 , Train acc 0.281714, Valid acc 0.273000
Epoch 185 : Train Loss 6.062282 , Train acc 0.281679, Valid acc 0.273500
Epoch 190 : Train Loss 6.060188 , Train acc 0.282321, Valid acc 0.272500
Epoch 195 : Train Loss 6.058191 , Train acc 0.282250, Valid acc 0.273000
Epoch 200 : Train Loss 6.056288 , Train acc 0.283893, Valid acc 0.274500
Epoch 205 : Train Loss 6.054465 , Train acc 0.283964, Valid acc 0.274250
Epoch 210 : Train Loss 6.052710 , Train acc 0.284214, Valid acc 0.275000
Epoch 215 : Train Loss 6.051017 , Train acc 0.284500, Valid acc 0.277000
Epoch 220 : Train Loss 6.049359 , Train acc 0.285071, Valid acc 0.277500
Epoch 225 : Train Loss 6.047730 , Train acc 0.285179, Valid acc 0.277750
Epoch 230 : Train Loss 6.046121 , Train acc 0.284607, Valid acc 0.276000
Epoch 235 : Train Loss 6.044555 , Train acc 0.284714, Valid acc 0.275250
Epoch 240 : Train Loss 6.043058 , Train acc 0.285286, Valid acc 0.276250
Epoch 245 : Train Loss 6.041625 , Train acc 0.285643, Valid acc 0.277000
Epoch 250 : Train Loss 6.040234 , Train acc 0.286036, Valid acc 0.277500
Epoch 255 : Train Loss 6.038891 , Train acc 0.287036, Valid acc 0.278250
Epoch 260 : Train Loss 6.037590 , Train acc 0.288036, Valid acc 0.282000
Epoch 265 : Train Loss 6.036340 , Train acc 0.289679, Valid acc 0.284000
Epoch 270 : Train Loss 6.035127 , Train acc 0.290821, Valid acc 0.285500
Epoch 275 : Train Loss 6.033962 , Train acc 0.291750, Valid acc 0.287000
Epoch 280 : Train Loss 6.032840 , Train acc 0.292536, Valid acc 0.287000
Epoch 285 : Train Loss 6.031763 , Train acc 0.293036, Valid acc 0.288500
Epoch 290 : Train Loss 6.030731 , Train acc 0.293857, Valid acc 0.289000
Epoch 295 : Train Loss 6.029737 , Train acc 0.294571, Valid acc 0.290250
